Time,Host,File Size,Protocol,Speed (MB/s)
2025-08-20 11:13:38,Europe,100MB_file,rsync_ssh_reno,1.64
2025-08-20 11:14:05,Europe,10MB_file,rsync_hop,2.82
2025-08-20 11:14:27,Europe,10MB_file,rsync_ssh_reno,1.36
2025-08-20 11:23:02,Europe,1GB_file,rsync_ssh_reno,4.95
2025-08-20 11:23:51,Asia,100MB_file,rsync_hop,4.14
2025-08-20 11:25:16,Asia,100MB_file,rsync_ssh_reno,1.29
2025-08-20 11:25:50,Asia,10MB_file,rsync_hop,5.77
2025-08-20 11:26:18,Asia,10MB_file,rsync_ssh_reno,1.86
2025-08-20 11:31:00,Asia,1GB_file,rsync_hop,3.97
2025-08-20 11:35:10,Asia,1GB_file,rsync_ssh_reno,4.23
2025-08-20 11:35:57,USA,100MB_file,rsync_hop,4.13
2025-08-20 11:36:27,USA,100MB_file,rsync_ssh_reno,3.77
2025-08-20 11:36:51,USA,10MB_file,rsync_hop,3.04
2025-08-20 11:37:02,USA,10MB_file,rsync_ssh_reno,1.26
2025-08-20 11:40:10,USA,1GB_file,rsync_hop,6.08
2025-08-20 11:42:07,USA,1GB_file,rsync_ssh_reno,9.12
2025-08-20 11:43:11,Europe,100MB_file,rsync_hop,2.54
2025-08-20 11:44:11,Europe,100MB_file,rsync_ssh_reno,1.84
2025-08-20 11:44:38,Europe,10MB_file,rsync_hop,2.04
2025-08-20 11:45:01,Europe,10MB_file,rsync_ssh_reno,1.35
2025-08-20 11:53:20,Europe,1GB_file,rsync_ssh_reno,5.37
2025-08-20 11:54:12,Asia,100MB_file,rsync_hop,3.72
2025-08-20 11:55:28,Asia,100MB_file,rsync_ssh_reno,1.43
2025-08-20 11:55:55,Asia,10MB_file,rsync_hop,4.0
2025-08-20 11:56:23,Asia,10MB_file,rsync_ssh_reno,1.84
2025-08-20 11:59:32,Asia,1GB_file,rsync_hop,6.21
2025-08-20 12:05:09,USA,100MB_file,rsync_hop,6.92
2025-08-20 12:05:39,USA,100MB_file,rsync_ssh_reno,3.78
